in:POINT_TRANSLATION,out:surface_normal_match_to_sun,img
-80,-80,-40,40,80,1839,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1839_-80_-80_-40_40_80_NW iso.png
80,-40,80,-80,-80,1559,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1559_80_-40_80_-80_-80_NW iso.png
-80,-40,-40,80,-80,1812,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1812_-80_-40_-40_80_-80_NW iso.png
-40,-80,40,-80,-80,1807,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1807_-40_-80_40_-80_-80_NW iso.png
-80,-40,-40,80,80,1812,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1812_-80_-40_-40_80_80_NW iso.png
-80,-40,-40,80,-40,1812,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1812_-80_-40_-40_80_-40_NW iso.png
-40,-80,80,80,40,1787,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1787_-40_-80_80_80_40_NW iso.png
-40,-80,40,-80,-40,1807,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1807_-40_-80_40_-80_-40_NW iso.png
-40,-80,-80,80,40,1881,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1881_-40_-80_-80_80_40_NW iso.png
-40,-80,80,80,80,1787,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1787_-40_-80_80_80_80_NW iso.png
-80,40,-80,-80,40,1499,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1499_-80_40_-80_-80_40_NW iso.png
-80,40,-40,80,80,1523,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1523_-80_40_-40_80_80_NW iso.png
-80,-80,40,80,-80,1839,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1839_-80_-80_40_80_-80_NW iso.png
40,40,40,-80,-40,1663,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1663_40_40_40_-80_-40_NW iso.png
80,-40,-80,-80,40,1500,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1500_80_-40_-80_-80_40_NW iso.png
40,40,40,-80,-80,1663,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1663_40_40_40_-80_-80_NW iso.png
-40,-80,-40,80,-80,1812,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1812_-40_-80_-40_80_-80_NW iso.png
-80,40,-40,80,40,1523,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1523_-80_40_-40_80_40_NW iso.png
-40,80,-80,40,-80,1524,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1524_-40_80_-80_40_-80_NW iso.png
-40,-80,-40,80,-40,1812,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1812_-40_-80_-40_80_-40_NW iso.png
-40,-80,-40,-80,40,1788,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1788_-40_-80_-40_-80_40_NW iso.png
40,-40,-80,-80,-40,1445,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1445_40_-40_-80_-80_-40_NW iso.png
-40,40,40,40,-80,1445,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1445_-40_40_40_40_-80_NW iso.png
80,40,-80,-80,-40,1773,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1773_80_40_-80_-80_-40_NW iso.png
40,80,-80,-80,-80,1773,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1773_40_80_-80_-80_-80_NW iso.png
40,40,-80,-80,80,1643,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1643_40_40_-80_-80_80_NW iso.png
40,40,-80,-80,40,1644,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1644_40_40_-80_-80_40_NW iso.png
80,-40,80,80,-80,1499,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1499_80_-40_80_80_-80_NW iso.png
40,-40,-80,-80,-80,1445,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1445_40_-40_-80_-80_-80_NW iso.png
-40,40,40,40,-40,1445,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1445_-40_40_40_40_-40_NW iso.png
-40,-80,-40,-80,80,1787,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1787_-40_-80_-40_-80_80_NW iso.png
80,-40,80,80,-40,1499,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1499_80_-40_80_80_-40_NW iso.png
40,-40,-40,40,-80,1637,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1637_40_-40_-40_40_-80_NW iso.png
40,-40,-80,-80,80,1445,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1445_40_-40_-80_-80_80_NW iso.png
-80,40,80,-80,-40,1558,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1558_-80_40_80_-80_-40_NW iso.png
80,-40,-80,80,-40,1593,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1593_80_-40_-80_80_-40_NW iso.png
40,-80,-80,-80,-80,1498,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1498_40_-80_-80_-80_-80_NW iso.png
-40,80,80,80,40,1515,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1515_-40_80_80_80_40_NW iso.png
-40,80,80,-80,40,1560,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1560_-40_80_80_-80_40_NW iso.png
-80,-80,-80,-40,-80,1839,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1839_-80_-80_-80_-40_-80_NW iso.png
-40,80,80,-80,80,1559,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1559_-40_80_80_-80_80_NW iso.png
40,-80,-80,-80,-40,1521,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1521_40_-80_-80_-80_-40_NW iso.png
40,80,80,-40,80,1794,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1794_40_80_80_-40_80_NW iso.png
40,-80,-80,-80,80,1731,https://raw.githubusercontent.com/EvanOJ/DesignExplorer/master/1731_40_-80_-80_-80_80_NW iso.png
